cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
1098,1,0,0,7.0,7.0
1099,1,1,1,58.0,58.0
1100,1,0,0,1.5,1.5
1101,1,1,1,58.25,58.25
1102,1,1,1,55.5,55.5
1103,1,1,1,56.0,56.0
1104,1,1,1,56.5,56.5
1105,1,1,1,56.5,56.5
1106,2,2,2,15.0,16.0
1107,1,0,0,8.0,8.0
1108,3,2,3,11.25,43.0
1109,1,1,1,55.5,55.5
1110,1,1,1,56.5,56.5
1111,1,1,1,58.25,58.25
1112,2,1,1,1.5,1.75
1113,1,0,0,5.0,5.0
1114,1,1,1,21.0,23.75
1115,1,1,1,55.5,55.5
1116,1,1,1,56.25,56.25
1117,1,1,1,57.0,57.0
1118,1,1,1,19.25,19.75
1119,1,0,0,6.75,6.75
1120,1,0,0,1.0,1.0
1121,1,1,1,55.5,55.5
1122,1,1,1,54.75,54.75
1123,1,0,0,6.5,6.5
1124,1,0,0,1.25,1.25
1125,1,1,1,18.75,18.75
1126,1,0,0,6.5,6.5
1127,1,0,0,5.0,5.0
1128,1,0,0,6.0,6.0
1129,2,1,1,19.5,19.75
1130,1,1,1,56.5,56.5
1131,1,1,1,57.25,57.25
1132,1,1,1,57.75,57.75
1133,1,0,0,5.0,5.0
1134,1,1,1,21.0,20.0
1135,1,1,1,19.75,20.0
1136,1,1,1,21.75,22.75
1137,1,1,1,57.25,57.25
1138,2,2,2,40.75,40.5
1139,1,1,1,19.0,19.25
1140,4,3,3,26.25,27.0
1141,1,0,0,1.0,1.0
1142,1,1,1,58.75,58.75
1143,1,1,1,56.5,56.5
1144,1,1,1,56.75,56.75
1145,1,1,1,17.75,17.5
1146,1,1,1,57.0,57.0
1147,2,2,2,34.5,35.0
1148,1,1,1,56.25,56.25
1149,1,1,1,18.75,19.0
1150,1,1,1,21.5,21.25
1151,1,1,1,17.0,16.5
1152,1,1,1,58.0,58.0
1153,1,1,1,56.0,56.0
1154,1,0,0,8.25,8.25
1155,2,2,2,40.0,40.0
1156,1,1,1,57.0,57.0
1157,2,2,2,39.75,37.0
1158,1,1,1,55.75,55.75
1159,1,1,1,58.5,58.5
1160,1,1,1,57.0,57.0
1161,1,0,0,7.25,7.25
1162,1,1,1,56.25,56.25
1163,1,0,0,0.75,0.75
1164,1,1,1,56.0,56.0
1165,1,0,0,5.25,5.25
